model,percent_total_forecasts.full,relative_wis.full,percent_total_forecasts.2020all,relative_wis.2020all,percent_total_forecasts.2020_8m,relative_wis.2020_8m,percent_total_forecasts.2021,relative_wis.2021,percent_total_forecasts.2021_8m,relative_wis.2021_8m
CEID-Walk,69.3796,0.95,56.24,0.99,NA,NA,100,0.9,100,0.9
CMU-TimeSeries,76.2349,0.79,66.04,0.84,NA,NA,100,0.75,100,0.74
Covid19Sim-Simulator,86.4061,1.01,80.57,0.97,80.57,0.93,100,1.05,100,1.03
COVIDhub-baseline,100,1,100,1,100,1,100,1,100,1
COVIDhub-ensemble,88.3314,0.61,83.32,0.66,83.32,0.65,100,0.55,100,0.55
CU-select,84.4419,0.96,77.77,0.97,77.77,1.01,100,0.94,100,0.93
DDS-NBDS,72.783,1.16,63.87,1.14,NA,NA,93.56,1.2,93.56,1.18
epiforecasts-ensemble1,68.3392,3.88,54.86,2.63,NA,NA,99.74,4.45,99.74,4.73
GT-DeepCOVID,84.4419,0.77,80.14,0.82,80.14,0.82,94.46,0.73,94.46,0.72
IHME-CurveFit,67.4543,0.77,63.88,0.85,NA,NA,75.78,0.68,75.78,0.66
IowaStateLW-STEM,75.4667,1.03,66.66,1.08,NA,NA,95.98,0.98,95.98,0.98
JHU_IDD-CovidSP,93.5725,0.88,91.66,1.01,91.66,1.03,98.02,0.73,98.02,0.72
JHUAPL-Bucky,63.0883,1.1,50.03,1.06,NA,NA,93.52,1.14,93.52,1.13
Karlen-pypm,76.6628,0.66,66.65,0.75,NA,NA,100,0.57,100,0.57
LANL-GrowthRate,86.3866,0.8,80.54,0.89,80.54,0.88,100,0.7,100,0.69
MOBS-GLEAM_COVID,99.9222,0.81,99.89,0.95,99.89,0.96,100,0.64,100,0.64
OliverWyman-Navigator,88.098,0.7,83.1,0.72,83.1,0.71,99.74,0.69,99.74,0.68
PSI-DRAFT,80.4356,1.47,72.15,1.7,NA,NA,99.74,1.24,99.74,1.22
RobertWalraven-ESG,80.2606,1.26,71.8,1.8,NA,NA,99.97,0.68,99.97,0.67
RPI_UW-Mob_Collision,40.422,1.34,35.76,1.46,NA,NA,51.3,1.23,51.3,1.16
SteveMcConnell-CovidComplete,66.9681,0.74,52.79,0.77,NA,NA,100,0.71,100,0.7
UA-EpiCovDA,84.4419,0.93,77.77,1.02,77.77,1.01,100,0.84,100,0.83
UCLA-SuEIR,79.648,1.28,80.54,1.3,80.54,1.26,77.56,1.28,77.56,1.21
UCSD_NEU-DeepGLEAM,63.0883,0.81,47.25,0.91,NA,NA,100,0.71,100,0.71
UMass-MechBayes,96.1105,0.61,94.44,0.68,94.44,0.67,100,0.55,100,0.54
UMich-RidgeTfReg,66.3458,1.3,53.29,1.53,NA,NA,96.76,1.12,96.76,1.11
UT-Mobility,69.4574,2.66,88.2,1.48,88.2,1.42,25.78,7.82,NA,NA
