model,n_forecasts.no_anomalies,calib_95.no_anomalies,calib_50.no_anomalies,relative_wis.no_anomalies,relative_abs_error.no_anomalies,n_forecasts.orig,calib_95.orig,calib_50.orig,relative_wis.orig,relative_abs_error.orig
CEID-Walk,6608,0.82,0.47,0.95,1.01,7135,0.81,0.46,0.95,1
CMU-TimeSeries,7298,0.73,0.4,0.78,0.79,7840,0.72,0.39,0.79,0.8
Covid19Sim-Simulator,8326,0.28,0.08,1.03,0.82,8886,0.27,0.08,1.01,0.81
COVIDhub-baseline,9706,0.85,0.46,1,1,10284,0.84,0.44,1,1
COVIDhub-ensemble,8518,0.89,0.49,0.58,0.64,9084,0.87,0.47,0.61,0.66
CU-select,8127,0.7,0.34,0.99,0.96,8684,0.68,0.34,0.96,0.93
DDS-NBDS,6958,0.85,0.41,1.16,1.51,7485,0.84,0.4,1.16,1.52
epiforecasts-ensemble1,6505,0.87,0.45,1.55,0.93,7028,0.86,0.45,3.88,3.17
GT-DeepCOVID,8146,0.83,0.38,0.74,0.8,8684,0.82,0.37,0.77,0.85
IHME-CurveFit,6483,0.65,0.28,0.76,0.8,6937,0.64,0.27,0.77,0.8
IowaStateLW-STEM,7223,0.45,0.18,1.07,0.94,7761,0.44,0.18,1.03,0.92
JHU_IDD-CovidSP,9070,0.81,0.36,0.92,1.03,9623,0.8,0.36,0.88,0.99
JHUAPL-Bucky,5968,0.53,0.24,1.17,1.14,6488,0.53,0.24,1.1,1.09
Karlen-pypm,7342,0.85,0.46,0.65,0.71,7884,0.84,0.44,0.66,0.72
LANL-GrowthRate,8322,0.9,0.4,0.79,0.89,8884,0.89,0.4,0.8,0.89
MOBS-GLEAM_COVID,9698,0.68,0.36,0.81,0.79,10276,0.67,0.35,0.81,0.8
OliverWyman-Navigator,8498,0.84,0.46,0.68,0.72,9060,0.83,0.44,0.7,0.74
PSI-DRAFT,7721,0.35,0.15,1.55,1.28,8272,0.34,0.14,1.47,1.24
RobertWalraven-ESG,7705,0.38,0.22,1.28,1.04,8254,0.37,0.21,1.26,1.03
RPI_UW-Mob_Collision,3815,0.56,0.22,1.41,1.34,4157,0.55,0.22,1.34,1.29
SteveMcConnell-CovidComplete,6353,0.8,0.5,0.72,0.76,6887,0.79,0.49,0.74,0.78
UA-EpiCovDA,8127,0.65,0.34,0.95,0.89,8684,0.64,0.33,0.93,0.88
UCLA-SuEIR,7652,0.24,0.07,1.28,1.04,8191,0.24,0.08,1.28,1.08
UCSD_NEU-DeepGLEAM,5956,0.89,0.57,0.81,0.78,6488,0.87,0.55,0.81,0.79
UMass-MechBayes,9314,0.95,0.57,0.61,0.65,9884,0.94,0.56,0.61,0.66
UMich-RidgeTfReg,6518,0.47,0.24,1.36,1.17,6823,0.45,0.23,1.3,1.13
UT-Mobility,6718,0.68,0.3,2.85,2.5,7143,0.67,0.3,2.66,2.45
